ProductID	Name	Description	Barcode	OrderCode	Brand	Size	Qty	MeasuredQty	Value	Discount	ValueIncVAT	ValueExcVAT	TotCost	Margin	MarginPerc
4577776	Apples Gala BOX	Box					11		227	0	227	227	163	64	0.28194
-39108	bill 1/6						1		40.67	0	40.67	40.67	0	40.67	1
4580430	Papaya	Papaya					20		79.4	0	79.4	79.4	0	79.4	1
	05-Sep						1		52.71	0	52.71	52.71	0	52.71	1
	08-Jun						1		29.18	0	29.18	29.18	0	29.18	1
45959079	10 Kamquats for £1	10 Kamquats for £1					8		8	0	8	8	0	8	1
	10-May						2		54.2	0	54.2	54.2	0	54.2	1
46522564	10kg bag washed potato	10kg bag washed potato					6		54.6	0	54.6	54.6	0	54.6	1
-39108	11-May						1		27.78	0	27.78	27.78	0	27.78	1
	11-May						1		52.58	0	52.58	52.58	0	52.58	1
	12-Jun						1		49.58	0	49.58	49.58	0	49.58	1
	12-Jun						3		54.27	0	54.27	54.27	0	54.27	1
	13-Jun						1		3.59	0	3.59	3.59	0	3.59	1
-39108	14-Jun						2		25.45	0	25.45	25.45	0	25.45	1
	14-Jun						2		28.65	0	28.65	28.65	0	28.65	1
-39108	14-Jun						1		2.97	0	2.97	2.97	0	2.97	1
-39108	15-Jun						1		17.85	0	17.85	17.85	0	17.85	1
	15-Jun						1		46.16	0	46.16	46.16	0	46.16	1
	16-May						1		16.59	0	16.59	16.59	0	16.59	1
	16-Jun						1		7.03	0	7.03	7.03	0	7.03	1
	19-Jun						1		46.35	0	46.35	46.35	0	46.35	1
	19-May						2		69.46	0	69.46	69.46	0	69.46	1
-39108	2 KILO PEELED POT					1		3.52	0	3.52	3.52	0	3.52	1
	02-May						7		105.03	0	105.03	105.03	0	105.03	1
-39108	02-Jun						1		33.06	0	33.06	33.06	0	33.06	1
	20-Jun						1		5.75	0	5.75	5.75	0	5.75	1
	22-May						1		5.06	0	5.06	5.06	0	5.06	1
	23-May						2		88.72	0	88.72	88.72	0	88.72	1
	24-May						1		13.07	0	13.07	13.07	0	13.07	1
	25-May						2		60.44	0	60.44	60.44	0	60.44	1
-39108	25-May						1		19.67	0	19.67	19.67	0	19.67	1
	28-Jul						1		8.17	0	8.17	8.17	0	8.17	1
	03-May						2		59.14	0	59.14	59.14	0	59.14	1
-39108	30 kg large pot					1		22.4	0	22.4	22.4	0	22.4	1
	30 kg large potatoes					1		23.8	0	23.8	23.8	0	23.8	1
	30-May						1		8.34	0	8.34	8.34	0	8.34	1
	30-May						2		43.31	0	43.31	43.31	0	43.31	1
	31-May						2		38.6	0	38.6	38.6	0	38.6	1
-39108	38/05						1		5.64	0	5.64	5.64	0	5.64	1
-39108	04-May						2		20.14	0	20.14	20.14	0	20.14	1
	04-May						5		96.11	0	96.11	96.11	0	96.11	1
	05-May						2		42.81	0	42.81	42.81	0	42.81	1
-39108	5/5 old bill					1		7.13	0	7.13	7.13	0	7.13	1
	05-Jun						2		74.36	0	74.36	74.36	0	74.36	1
	05-Jul						1		36.16	0	36.16	36.16	0	36.16	1
-39108	6 butternut					1		11.62	0	11.62	11.62	0	11.62	1
	06-May						3		94.82	0	94.82	94.82	0	94.82	1
	06-Jun						2		26.42	0	26.42	26.42	0	26.42	1
	08-Jun						2		101.71	0	101.71	101.71	0	101.71	1
-39108	08-Jun						2		29.19	0	29.19	29.19	0	29.19	1
47549163	9 Clementines	9 Clementines					11		27.5	0	27.5	27.5	0	27.5	1
-39108	09-Jun						1		36.37	0	36.37	36.37	0	36.37	1
-39108	all old bills					1		764.99	0	764.99	764.99	0	764.99	1
	apple						1		1.98	0	1.98	1.98	0	1.98	1
	apples						1		10	2.3656	7.6344	7.6344	0	7.63	1
2693455	Apples Braeburn	Apples Braeburn					499	593.55700kg	1175.24286	0.5522	1174.69066	1174.69066	756.03475	418.66	0.3564
4630983	Apples Braeburn Box (12KG)	Apples Braeburn Box (12KG)					15		323.5	0	323.5	323.5	253.6	69.9	0.21607
2693456	Apples Cooking	Apples Cooking					25	58.96100kg	165.0908	0	165.0908	165.0908	82.5454	82.55	0.5
45301624	Apples Cooking prepack	Apples Cooking prepack					34		61.36	0	61.36	61.36	34	27.36	0.44589
46598652	Apples Discovery	Apples Discovery					39	32.04800kg	53.19968	0	53.19968	53.19968	296.444	-243.24	-4.57226
