ProductID	Name	Description	Barcode	OrderCode	Brand	Size	Qty	MeasuredQty	Value	Discount	ValueIncVAT	ValueExcVAT	TotCost	Margin	MarginPerc
-39108	10 x bottle milk							1		10	0	10	10	0	10	1
	20* grapes							1		36	0	36	36	0	36	1
49766771	7.5 KG Potato	7.5 KG Potato						76		407	1.4014	405.5986	405.5986	0	405.6	1
	acorn squ							1		3	0	3	3	0	3	1
-39108	apple							1		20	0	20	20	0	20	1
-39108	apple box							1		22	0	22	22	0	22	1
48180213	Apple Cooking	Apples Cooking						264	448.54200kg	1489.15944	6.1207	1483.03874	1483.03874	744.57972	738.46	0.49794
2693455	Apples Braeburn	Apples Braeburn						1049	1006.42100kg	3009.19879	50.6808	2958.51799	2958.51799	1258.02625	1700.49	0.57478
2693458	Apples Gala	Apples Gala						815	1010.96500kg	3022.78535	6.912	3015.87335	3015.87335	6065.79	-3049.92	-1.01128
2602093	Apples Golden	Apples Golden						447	582.37400kg	1741.29826	25.2193	1716.07896	1716.07896	966.74084	749.34	0.43666
46128583	Apples Golden Box (12KG)	Apples Golden Box (12KG)						1		0	0	0	0	0	0	0
4577778	Apples Granny	Apples Granny						514	544.55400kg	1628.21646	14.5539	1613.66256	1613.66256	5037.1245	-3423.46	-2.12154
4577780	Apples Pink Lady	Apples Pink Lady						609	473.22800kg	2049.07724	23.1141	2025.96314	2025.96314	3785.824	-1759.86	-0.86865
4577781	Apples Red Delicious	Apples Red Delicious						296	225.51300kg	706.61071	5.1875	701.42321	701.42321	133.05267	568.37	0.81031
	appleshalfbox							1		11	0	11	11	0	11	1
46128454	Apricot Loose	Apricot Loose						474		94.8	0.1199	94.6801	94.6801	227.52	-132.84	-1.40304
-39108	apricotes							1		2	0	2	2	0	2	1
-39108	apricots							1		2	0	2	2	0	2	1
4590120	Aubergine	Aubergine						1138	946.01200kg	3632.81662	37.7837	3595.03292	3595.03292	7189.6912	-3594.66	-0.99989
-39108	aubergine box							4		43.5	0	43.5	43.5	0	43.5	1
51130708	Aubergine Thin	Aubergine Thin						6		3	0	3	3	0	3	1
-39108	avocado							6		2.65	0	2.65	2.65	0	2.65	1
2602077	Avocado	Avocado						6794		7405.46	4.577	7400.883	7400.883	5672.99	1727.89	0.23347
48136643	Avocado 3 for £1	Avocado 3 for £1						5		5	0	5	5	0	5	1
46519043	Avocado 5 for £1	Avocado 5 or £1						89		89	0	89	89	0	89	1
	avocado box							1		17	0	17	17	0	17	1
48688499	Avocado Special Offer 10 for £1	Avocado Special Offer 10 for £1						56		56	0	56	56	33.6	22.4	0.4
-39108	avocados							1		0.5	0	0.5	0.5	0	0.5	1
-39108	baby cues							1		2	0	2	2	0	2	1
	baby roast							1		14	0	14	14	0	14	1
	baby roast pot box							1		14	0	14	14	0	14	1
-39108	banana							2		1.1	0	1.1	1.1	0	1.1	1
4577782	Banana	Banana						3689	3388.59100kg	6954.08322	48.2338	6905.84942	6905.84942	3930.76556	2975.08	0.43081
45840215	Bean Sprouts	Bean Sprouts						18		16.02	0	16.02	16.02	9	7.02	0.4382
46621621	Beetroot Loose	Beetroot Loose						356	342.20200kg	677.55996	1.5013	676.05866	676.05866	0	676.06	1
	beetroot sack							1		8.5	0	8.5	8.5	0	8.5	1
48466184	Belgium Strawberry punnet	Belgium Strawberry	8453108234					126		453.6	0	453.6	453.6	226.8	226.8	0.5
-39108	berries							3		5.6	0	5.6	5.6	0	5.6	1
-39108	berry							2		4	0	4	4	0	4	1
	bill							1		14.78	0	14.78	14.78	0	14.78	1
48280193	Blood orange	Blood orange						323		177.65	0	177.65	177.65	0	177.65	1
-39108	blueberry							1		0.5	0	0.5	0.5	0	0.5	1
47891356	Blueberry	Blueberry						404		803.96	0	803.96	803.96	0	803.96	1
	box apple							1		8	0	8	8	0	8	1
-39108	box apple							2		34.5	0	34.5	34.5	0	34.5	1
-39108	box aubergine							1		13.5	0	13.5	13.5	0	13.5	1
-39108	box baby pot							1		14	0	14	14	0	14	1
-39108	box braeburn							2		47	2.3993	44.6007	44.6007	0	44.6	1
	box courgette							1		10	0	10	10	0	10	1
	box fruit							1		5	0	5	5	0	5	1
-39108	box golden							1		22	0	22	22	0	22	1
	box lemons							1		11	0	11	11	0	11	1
-39108	box lychee							1		19	0	19	19	0	19	1
	Box of baby pot 6 Feb 2025							1		14	0	14	14	0	14	1
