ProductID	Name	Description	Barcode	OrderCode	Brand	Size	Qty	MeasuredQty	Value	Discount	ValueIncVAT	ValueExcVAT	TotCost	Margin	MarginPerc
4580430	Papaya	Papaya						2		7.98	0	7.98	7.98	0	7.98	1
-39108	2 raddish							1		5	0	5	5	0	5	1
-39108	2 watermelon							1		11	0	11	11	0	11	1
-39108	3 x peeled garlic							1		18	0	18	18	0	18	1
-39108	4 bunch radish							1		10	0	10	10	0	10	1
49766771	7.5 KG Potato	7.5 KG Potato						38		171	0	171	171	0	171	1
-39108	apeicots							1		2.5	0	2.5	2.5	0	2.5	1
-39108	aples							2		10	0	10	10	0	10	1
48180213	Apple Cooking	Apples Cooking						96	196.81200kg	653.41584	9.7591	643.65674	643.65674	326.70792	316.95	0.49242
-39108	apples							19		181.17	0.5975	180.5725	180.5725	0	180.57	1
2693455	Apples Braeburn	Apples Braeburn						560	573.62100kg	1715.12679	43.8434	1671.28339	1671.28339	717.02625	954.26	0.57097
2693458	Apples Gala	Apples Gala						284	373.15300kg	1115.72747	12.5507	1103.17677	1103.17677	2238.918	-1135.74	-1.02951
2602093	Apples Golden	Apples Golden						213	270.25300kg	808.05647	9.0008	799.05567	799.05567	448.61998	350.44	0.43856
4577778	Apples Granny	Apples Granny						202	214.07600kg	640.08724	9.8981	630.18914	630.18914	1980.203	-1350.01	-2.14222
4577780	Apples Pink Lady	Apples Pink Lady						342	251.99800kg	1091.15134	4.5773	1086.57404	1086.57404	2015.984	-929.41	-0.85536
4577781	Apples Red Delicious	Apples Red Delicious						135	108.05600kg	323.08744	9.4416	313.64584	313.64584	63.75304	249.89	0.79674
-39108	apricot							4		10	0	10	10	0	10	1
46128454	Apricot Loose	Apricot Loose						93		18.6	0	18.6	18.6	44.64	-26.04	-1.4
-39108	apricots							6		15	0	15	15	0	15	1
-39108	aubergine							3		46.5	0	46.5	46.5	0	46.5	1
4590120	Aubergine	Aubergine						593	474.50200kg	1803.1076	1.1966	1801.911	1801.911	3606.2152	-1804.3	-1.00133
51130708	Aubergine Thin	Aubergine Thin						1		0.5	0	0.5	0.5	0	0.5	1
-39108	avo							2		2	0	2	2	0	2	1
-39108	avocado							4		21.1	0	21.1	21.1	0	21.1	1
2602077	Avocado	Avocado						3038		3310.4	16.5217	3293.8783	3293.8783	2536.73	757.15	0.22987
48291132	Avocado Special Offer	Avocado Special Offer						56		42	0	42	42	0	42	1
48688499	Avocado Special Offer 10 for £1	Avocado Special Offer 10 for £1						2		2	0	2	2	1.2	0.8	0.4
-39108	avocado x 3							1		3.9	0	3.9	3.9	0	3.9	1
-39108	avocados small							1		1	0	1	1	0	1	1
-39108	avos							2		2	0	2	2	0	2	1
-39108	bab cues							1		3	0	3	3	0	3	1
-39108	bab roasters							1		23	0	23	23	0	23	1
-39108	baby cues							1		1	0	1	1	0	1	1
-39108	baby roast							1		11.5	0	11.5	11.5	0	11.5	1
-39108	banana							2		22.85	0	22.85	22.85	0	22.85	1
4577782	Banana	Banana						1622	1522.39400kg	2997.68342	17.815	2979.86842	2979.86842	1765.97704	1213.89	0.40736
52173818	bargain box							25		5	0	5	5	0	5	1
45840215	Bean Sprouts	Bean Sprouts						6		5.34	0	5.34	5.34	3	2.34	0.4382
-39108	beetroot							1		8.5	0	8.5	8.5	0	8.5	1
46621621	Beetroot Loose	Beetroot Loose						193	219.15000kg	433.917	1.6888	432.2282	432.2282	0	432.23	1
48466184	Belgium Strawberry punnet	Belgium Strawberry	8453108234					13		46.8	0	46.8	46.8	23.4	23.4	0.5
-39108	berries							1		3	0	3	3	0	3	1
-39108	berry							1		7	0	7	7	0	7	1
48280193	Blood orange	Blood orange						7		3.85	0	3.85	3.85	0	3.85	1
47891356	Blueberry	Blueberry						229		455.71	7.9686	447.7414	447.7414	0	447.74	1
	box aubergine before pesach							1		15	0	15	15	0	15	1
